Dataset	Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH
Height__cm___FOM1	Battram T	ARIES	-	09/04/2019	Height	EFO_0004339	-	-	DNA methylation	Height	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	705	1	-	48	-	705	705	-	-	-	-	-
Sitting_Height__cm___FOM1	Battram T	ARIES	-	09/04/2019	Sitting height	EFO_0004339	-	-	DNA methylation	Sitting height	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	699	1	-	48	-	699	699	-	-	-	-	-
DV__Leg_length__cm___FOM1	Battram T	ARIES	-	09/04/2019	Leg length	-	-	-	DNA methylation	Leg length	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	699	1	-	48	-	699	699	-	-	-	-	-
DV__Combined_Head_Circumference__cm___FOM1	Battram T	ARIES	-	09/04/2019	Head circumference	EFO_0005114	-	-	DNA methylation	Head circumference	Age and technical covariates	Beta values	cm	Illumina HumanMethylation450	Whole blood	-	705	1	-	48	-	705	705	-	-	-	-	-
Total_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Total bone mineral density	EFO_0007591	-	-	DNA methylation	Total bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Total bone mineral content	EFO_0007621	-	-	DNA methylation	Total bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Total area	-	-	-	DNA methylation	Total area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total bone mass	-	-	-	DNA methylation	Total bone mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Head_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Head bone mineral density	EFO_0007591	-	-	DNA methylation	Head bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Head_BMC___g___FOM1	Battram T	ARIES	-	09/04/2019	Head bone mineral content	EFO_0007621	-	-	DNA methylation	Head bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Head_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Head area	-	-	-	DNA methylation	Head area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Arm_Left_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm bone mass left	-	-	-	DNA methylation	Arm bone mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
Arm_Left_Lean_Mass___g____FOM1	Battram T	ARIES	-	09/04/2019	Arm lean mass left	-	-	-	DNA methylation	Arm lean mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-
Arm_Right_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm bone mass right	-	-	-	DNA methylation	Arm bone mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Arm_Right_Lean_Mass__g____FOM1	Battram T	ARIES	-	09/04/2019	Arm lean mass right	-	-	-	DNA methylation	Arm lean mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Arms_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm bone mass both	-	-	-	DNA methylation	Arm bone mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Arms_Lean_Mass__g____FOM1	Battram T	ARIES	-	09/04/2019	Arm lean mass both	-	-	-	DNA methylation	Arm lean mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-
Leg_Left_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg bone mass left	-	-	-	DNA methylation	Leg bone mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
